time CL CT CH
443.024993896 3.36303320007e+13 1.26369698035e+14 1.60000030036e+14
444.024993896 3.35836334647e+13 1.26416395498e+14 1.60000028962e+14
445.024993896 3.35437529748e+13 1.26456275827e+14 1.60000028801e+14
446.024993896 3.3510793261e+13 1.26489235192e+14 1.60000028453e+14
447.024993896 3.34848566778e+13 1.26515171372e+14 1.6000002805e+14
448.024993896 3.3466046734e+13 1.26533980914e+14 1.60000027648e+14
449.024993896 3.3454466804e+13 1.26545560146e+14 1.6000002695e+14
450.024993896 3.34502202355e+13 1.26549807815e+14 1.60000028051e+14
451.024993896 3.34534115305e+13 1.26546615903e+14 1.60000027434e+14
452.024993896 3.3464143768e+13 1.26535883156e+14 1.60000026924e+14
453.024993896 3.3482520967e+13 1.26517505528e+14 1.60000026495e+14
454.024993896 3.3508645616e+13 1.26491381336e+14 1.60000026951e+14
455.024993896 3.35426201499e+13 1.26457405997e+14 1.60000026146e+14
456.024993896 3.35845470307e+13 1.26415478579e+14 1.6000002561e+14
457.024993896 3.36345257674e+13 1.26365499494e+14 1.60000025261e+14
458.024993896 3.36926563789e+13 1.26307368185e+14 1.60000024564e+14
459.024993896 3.37590370859e+13 1.26240987746e+14 1.60000024832e+14
460.024993896 3.38337638539e+13 1.26166259556e+14 1.6000002341e+14
461.024993896 3.39169318703e+13 1.26083091647e+14 1.60000023518e+14
462.024993896 3.40086332621e+13 1.25991388833e+14 1.60000022095e+14
463.024993896 3.41089586262e+13 1.25891063604e+14 1.6000002223e+14
464.024993896 3.42179951237e+13 1.25782026086e+14 1.6000002121e+14
465.024993896 3.43358280901e+13 1.25664192798e+14 1.60000020888e+14
466.024993896 3.4462539452e+13 1.25537480631e+14 1.60000020083e+14
467.024993896 3.45982067335e+13 1.25401812008e+14 1.60000018742e+14
468.024993896 3.4742905714e+13 1.25257112786e+14 1.600000185e+14
469.024993896 3.48967069114e+13 1.25103310596e+14 1.60000017508e+14
470.024993896 3.50596771931e+13 1.24940340583e+14 1.60000017776e+14
471.024993896 3.52318788091e+13 1.24768137196e+14 1.60000016005e+14
472.024993896 3.54133693927e+13 1.24586644922e+14 1.60000014314e+14
473.024993896 3.56042013961e+13 1.24395811899e+14 1.60000013295e+14
474.024993896 3.58044224666e+13 1.24195589701e+14 1.60000012168e+14
475.024993896 3.6014073809e+13 1.23985938171e+14 1.6000001198e+14
476.024993896 3.62331916352e+13 1.23766818654e+14 1.6000001029e+14
477.024993896 3.64618053928e+13 1.23538203931e+14 1.60000009324e+14
478.024993896 3.66999385159e+13 1.23300069305e+14 1.60000007821e+14
479.024993896 3.69476075136e+13 1.23052398939e+14 1.60000006453e+14
480.024993896 3.72048225862e+13 1.22795183437e+14 1.60000006024e+14
481.024993896 3.74715856934e+13 1.22528417754e+14 1.60000003447e+14
482.024993896 3.77478922986e+13 1.22252109189e+14 1.60000001488e+14
483.024993896 3.80337300269e+13 1.21966269234e+14 1.59999999261e+14
484.024993896 3.83290789336e+13 1.21670919737e+14 1.59999998671e+14
485.024993896 3.86339096787e+13 1.21366087274e+14 1.59999996953e+14
486.024993896 3.89481870971e+13 1.21051807494e+14 1.59999994591e+14
487.024993896 3.92718656622e+13 1.20728127104e+14 1.59999992767e+14
488.024993896 3.96048920091e+13 1.2039509904e+14 1.59999991049e+14
489.024993896 3.99472050149e+13 1.20052784075e+14 1.5999998909e+14
490.024993896 4.02987337053e+13 1.19701253023e+14 1.59999986729e+14
491.024993896 4.06593991603e+13 1.1934058577e+14 1.59999984931e+14
492.024993896 4.10291127694e+13 1.18970869397e+14 1.59999982167e+14
493.024993896 4.14077784595e+13 1.18592201829e+14 1.59999980288e+14
494.024993896 4.17952902522e+13 1.18204688184e+14 1.59999978437e+14
495.024993896 4.21915333647e+13 1.17808442173e+14 1.59999975538e+14
496.024993896 4.25963861419e+13 1.17403586417e+14 1.59999972559e+14
497.024993896 4.30097159766e+13 1.16990253255e+14 1.59999969231e+14
498.024993896 4.34313840342e+13 1.16568583184e+14 1.59999967219e+14
499.024993896 4.38612409034e+13 1.16138723846e+14 1.5999996475e+14
500.024993896 4.42991314017e+13 1.15700830181e+14 1.59999961583e+14
501.024993896 4.47448907902e+13 1.15255067975e+14 1.59999958765e+14
502.024993896 4.51983482367e+13 1.14801607308e+14 1.59999955545e+14
503.024993896 4.56593245603e+13 1.14340627818e+14 1.59999952378e+14
504.024993896 4.61276342723e+13 1.13872315583e+14 1.59999949855e+14
505.024993896 4.6603084985e+13 1.13396861462e+14 1.59999946447e+14
506.024993896 4.70854782439e+13 1.12914465922e+14 1.59999944166e+14
507.024993896 4.7574608535e+13 1.12425331149e+14 1.59999939684e+14
508.024993896 4.80702679818e+13 1.11929669099e+14 1.59999937081e+14
509.024993896 4.85722413527e+13 1.11427692696e+14 1.59999934048e+14
510.024993896 4.90803090675e+13 1.1091962125e+14 1.59999930318e+14
511.024993896 4.95942480833e+13 1.10405679712e+14 1.59999927795e+14
512.024993896 5.01138321089e+13 1.09886092332e+14 1.59999924441e+14
513.024993896 5.06388309072e+13 1.0936108932e+14 1.59999920227e+14
514.024993896 5.11690138117e+13 1.0883090341e+14 1.59999917222e+14
515.024993896 5.17041463439e+13 1.08295767282e+14 1.59999913625e+14
516.024993896 5.22439936228e+13 1.07755917212e+14 1.59999910835e+14
517.024993896 5.27883195327e+13 1.0721158792e+14 1.59999907453e+14
518.024993896 5.3336887904e+13 1.06663016275e+14 1.59999904179e+14
519.024993896 5.3889463104e+13 1.06110437694e+14 1.59999900798e+14
520.024993896 5.44458106812e+13 1.05554087594e+14 1.59999898275e+14
521.024993896 5.50056957545e+13 1.04994199247e+14 1.59999895001e+14
522.024993896 5.5568888597e+13 1.04431004741e+14 1.59999893338e+14
523.024993896 5.61351574952e+13 1.03864731763e+14 1.59999889258e+14
524.024993896 5.67042786274e+13 1.03295608645e+14 1.59999887273e+14
525.024993896 5.7276027206e+13 1.02723857008e+14 1.59999884214e+14
526.024993896 5.78501859055e+13 1.02149696698e+14 1.59999882604e+14
527.024993896 5.84265374005e+13 1.01573343325e+14 1.59999880726e+14
528.024993896 5.9004872741e+13 1.00995005033e+14 1.59999877774e+14
529.024993896 5.95849866275e+13 1.00414889053e+14 1.59999875681e+14
530.024993896 6.01666795588e+13 9.98331949419e+13 1.59999874501e+14
531.024993896 6.07497564896e+13 9.92501166699e+13 1.59999873159e+14
532.024993896 6.1334028334e+13 9.86658432158e+13 1.5999987155e+14
533.024993896 6.19193137906e+13 9.80805556125e+13 1.59999869403e+14
534.024993896 6.25054363365e+13 9.74944328528e+13 1.59999869189e+14
535.024993896 6.30922265887e+13 9.6907641313e+13 1.59999867902e+14
536.024993896 6.36795221438e+13 9.63203465104e+13 1.59999868654e+14
537.024993896 6.42671667187e+13 9.57327012921e+13 1.59999868011e+14
538.024993896 6.48550109022e+13 9.51448560894e+13 1.59999866992e+14
539.024993896 6.5442911994e+13 9.45569561259e+13 1.5999986812e+14
540.024993896 6.60307360986e+13 9.39691326128e+13 1.59999868711e+14
